# Filter	Lmb[um]	Lmb_flmb[erg/cm2/s]	Lmb_flmb_err[erg/cm2/s]	Detection
U	3.605e-01	3.555e-12	1.778e-13	1
B	4.413e-01	1.087e-11	5.436e-13	1
V	5.512e-01	2.976e-11	1.488e-12	1
Rc	6.585e-01	5.454e-11	2.727e-12	1
Ic	8.059e-01	1.226e-10	6.131e-12	1
J_2MASS	1.235e+00	1.996e-10	4.792e-12	1
H_2MASS	1.650e+00	1.961e-10	4.314e-12	1
K_2MASS	2.170e+00	1.252e-10	2.379e-12	1
W1	3.400e+00	3.795e-11	8.350e-13	1
W2	4.600e+00	1.687e-11	3.206e-13	1
PACS70	7.000e+01	2.237e-11	3.343e-12	1
PACS160	1.600e+02	9.337e-12	1.406e-12	1
SP250	2.500e+02	2.364e-12	4.800e-13	1
SP350	3.500e+02	9.343e-13	1.886e-13	1
IRS_binned	5.671e+00	9.766e-12	2.835e-13	1
IRS_binned	6.669e+00	6.177e-12	1.597e-13	1
IRS_binned	7.876e+00	3.941e-12	1.661e-13	1
IRS_binned	1.017e+01	2.461e-12	5.226e-14	1
IRS_binned	1.217e+01	1.869e-12	2.308e-14	1
IRS_binned	1.426e+01	2.474e-12	1.081e-13	1
IRS_binned	1.727e+01	7.126e-12	3.043e-13	1
IRS_binned	2.028e+01	1.276e-11	3.093e-13	1
IRS_binned	2.533e+01	1.926e-11	2.310e-13	1
IRS_binned	3.160e+01	2.355e-11	2.713e-13	1
